Date : 2021-10-05 15:02:46
Directory : /home/christian/src/micro
Total : 549 files,  16332 codes, 643 comments, 3949 blanks, all 20924 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| C                |        363 |     11,137 |        531 |      2,828 |     14,496 |
| C++              |        120 |      3,488 |         64 |        823 |      4,375 |
| Makefile         |         31 |        693 |          1 |        123 |        817 |
| GAS/AT&T x86/x64 |         10 |        431 |         34 |        110 |        575 |
| Diff             |          2 |        248 |          5 |          8 |        261 |
| LinkerScript     |          8 |        175 |          0 |         25 |        200 |
| Shell Script     |         11 |         95 |          8 |         19 |        122 |
| Markdown         |          2 |         43 |          0 |         10 |         53 |
| Properties       |          2 |         22 |          0 |          3 |         25 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                             |        549 |     16,332 |        643 |      3,949 |     20,924 |
| boot                                                                          |          9 |        211 |          9 |         65 |        285 |
| boot/stage1                                                                   |          3 |        133 |          7 |         42 |        182 |
| boot/stage2                                                                   |          3 |         31 |          0 |          8 |         39 |
| boot/tools                                                                    |          2 |         36 |          2 |         13 |         51 |
| build                                                                         |         12 |        116 |          7 |         21 |        144 |
| build/imgmnt                                                                  |          1 |          7 |          0 |          2 |          9 |
| kernel                                                                        |        147 |      9,369 |        367 |      2,505 |     12,241 |
| kernel/arch                                                                   |         39 |      2,381 |         95 |        590 |      3,066 |
| kernel/arch/amd64                                                             |         39 |      2,381 |         95 |        590 |      3,066 |
| kernel/arch/amd64/amd64                                                       |         20 |      1,788 |         81 |        439 |      2,308 |
| kernel/arch/amd64/include                                                     |         18 |        572 |         14 |        149 |        735 |
| kernel/arch/amd64/include/arch                                                |         18 |        572 |         14 |        149 |        735 |
| kernel/dev                                                                    |         16 |      1,958 |         61 |        580 |      2,599 |
| kernel/dev/ahci                                                               |          3 |        455 |          8 |        138 |        601 |
| kernel/dev/ext2                                                               |          3 |        804 |         31 |        245 |      1,080 |
